,Player,Pos,Age,Tm,Salary,Ensemble,Value Diff,LinReg,SVM,LogReg,Bayes,DecTree,Forest
368,Jordan Poole,2,20,GSW,1964760,8813875,6849115,5116728,24107258,77250,2500000,1544951,11440461
369,Otto Porter,3,26,CHI,27250576,5606538,-21644038,6286444,2847600,77250,11000000,7305825,6084307
370,Bobby Portis,4,24,NYK,15000000,4968756,-10031244,7502379,4078320,77250,7000000,12400000,4429223
371,Kristaps Porzingis,5,24,DAL,27285000,20134887,-7150113,15475727,21165675,22116750,21165675,12250000,10608190
372,Dwight Powell,5,28,DAL,10259375,11480365,1220990,7982994,11422536,13000000,13000000,1621415,7543731
373,Norman Powell,2,26,TOR,10116576,13159055,3042479,9886971,12000000,12000000,17145838,7000000,4903914
374,Taurean Prince,4,25,BRK,3481985,9413468,5931483,8752356,11830358,1312611,12500000,18089888,6095613
375,Julius Randle,4,25,NYK,18000000,19202582,1202582,15359265,13333333,22116750,25467250,2299080,10946943
376,Josh Reaves,3,22,DAL,79568,599923,520355,690009,385000,77250,1050000,77250,1427811
377,Cam Reddish,3,20,ATL,4245720,10342665,6096945,6073951,24107258,1312611,6000000,12800000,8567733
378,JJ Redick,2,35,NOP,13486300,11304617,-2181683,10933493,12000000,12000000,10500000,12250000,10022673
379,Naz Reid,5,20,MIN,898310,2661622,1763312,3205178,1403611,77250,5000000,7000000,3555120
380,Josh Richardson,2,26,PHI,10116576,10562272,445696,8184233,16517857,1312611,12250000,6700800,10027064
381,Austin Rivers,2,27,HOU,2174310,2612635,438325,5167769,2500000,77250,2500000,1705920,6329078
382,Andre Roberson,3,28,OKC,10740740,1916468,-8824272,1931871,4276320,77250,838464,8630000,3319240
383,Duncan Robinson,2,25,MIA,1416852,10371662,8954810,8609981,18735364,12000000,2898000,8400000,12234665
384,Glenn Robinson III,3,26,TOT,1882867,9556187,7673320,8488579,18500000,1312611,7000000,6782392,7642946
385,Jerome Robinson,2,22,TOT,3567720,1001999,-2565721,2310618,815615,77250,838464,2639313,3022081
386,Justin Robinson,1,22,WAS,898310,690743,-207567,2051042,752250,77250,77250,543471,561860
387,Mitchell Robinson,5,21,NYK,1559712,4832957,3273245,6250740,9631250,1471382,1471382,4384490,8141696
388,Isaiah Roby,4,21,OKC,1500000,511154,-988846,1693396,393041,77250,76236,247827,394366
389,Rajon Rondo,1,33,LAL,2564753,4357191,1792438,7906860,6000000,77250,3000000,1713840,5594727
390,Derrick Rose,1,31,DET,7317074,13094511,5777437,11427750,23200000,1312611,12000000,86118,10678260
391,Terrence Ross,2,28,ORL,12500000,7970572,-4529428,9076740,7377500,77250,12500000,7377500,8188911
392,Terry Rozier,1,25,CHO,19894737,9818368,-10076369,13233771,3499800,12000000,12000000,23112004,9475347
393,Ricky Rubio,1,29,PHO,16200000,8281705,-7918295,13690263,2613600,1312611,14000000,19000000,13462472
394,D'Angelo Russell,1,23,TOT,27285000,10267183,-17017817,15871213,3111480,12000000,12000000,3111480,11554578
395,Domantas Sabonis,4,23,IND,3529554,22039685,18510131,19444930,23775506,23775506,21165675,29512900,13734217
396,Luka Samanic,4,20,SAS,2689920,4064371,1374451,4662683,9213484,77250,1312611,1312611,4333246
397,JaKarr Sampson,4,26,IND,1737145,713918,-1023227,1953904,77250,77250,838464,543471,2337135
398,Dario Saric,4,25,PHO,3481985,5490224,2008239,9114230,2526840,77250,9000000,4078320,5699152
399,Tomas Satoransky,2,28,CHI,10000000,6664022,-3335978,9229070,8653847,1312611,6300000,874636,6860230
400,Admiral Schofield,4,22,WAS,1000000,3234848,2234848,1495833,4837500,77250,4837500,1460927,1961581
401,Mike Scott,4,31,PHI,4767000,2061823,-2705177,5214953,1622520,77250,1512601,16747954,3331562
402,Thabo Sefolosha,4,35,HOU,2564753,748215,-1816538,2549119,77250,77250,543471,4328000,2472409
403,Collin Sexton,1,21,CLE,4764960,19968352,15203392,11077196,25759766,12000000,25467250,2621280,13220888
404,Landry Shamet,2,22,LAC,1995120,9360384,7365264,5138279,13760000,8000000,9000000,13760000,11043419
405,Marial Shayok,2,24,PHI,79568,511612,432044,1957158,198579,77250,77250,543471,5077495
406,Iman Shumpert,3,29,BRK,2031676,2915482,883806,2786252,7119650,77250,838464,652165,4919346
407,Pascal Siakam,4,25,TOR,2351838,20108515,17756677,15848697,24559380,12000000,23775506,13333333,16517129
408,Chris Silva,4,23,MIA,79568,1151717,1072149,894964,2407560,77250,815615,1471382,2356631
409,Ben Simmons,1,23,PHI,8113929,9095957,982028,15293735,6434520,1312611,12000000,6168840,12669118
410,Anfernee Simons,2,20,POR,2149560,2842066,692506,4206015,4008882,77250,2500000,22116750,7472103
411,Alen Smailagic,5,19,GSW,898310,2346719,1448409,2353001,2568600,77250,3500000,1512601,1874865
412,Marcus Smart,2,25,BOS,12553571,12009340,-544231,10423635,12545455,8000000,15000000,2775000,8727614
413,JR Smith,2,34,LAL,1456667,518792,-937875,2040786,194220,77250,47370,95904,729939
414,Zhaire Smith,3,20,PHI,3058800,58011,-3000789,-191706,77250,77250,198579,1000000,749155
415,Tony Snell,3,28,DET,11392857,6417488,-4975369,6176837,9821429,8000000,2500000,18500000,7808514
416,Omari Spellman,5,22,GSW,1897800,3816407,1918607,6714930,5000000,77250,3000000,13000000,5570504
417,Max Strus,3,23,CHI,79568,155286,75718,-1408223,1450000,77250,74158,1471382,674307
418,Edmond Sumner,2,24,IND,2000000,1611024,-388976,2627154,2700000,77250,838464,1471382,2112079
419,Caleb Swanigan,PF-C,22,TOT,2033160,645022,-1388138,1748798,309859,77250,543471,309859,6088544
420,Jayson Tatum,4,21,BOS,7830000,18649745,10819745,17723059,18100000,12000000,23775506,19300000,21146650
421,Jeff Teague,1,31,TOT,19000000,8434397,-10565603,8812194,1315448,1312611,19000000,3382000,7057624
422,Garrett Temple,2,33,BRK,4767000,5743577,976577,8119115,2250960,1312611,10000000,14087500,7344058
423,Daniel Theis,5,27,BOS,5000000,10206295,5206295,6966643,12000000,1471382,16000000,247827,7136364
424,Isaiah Thomas,1,30,WAS,2320044,8040417,5720373,7478290,12606250,77250,9000000,2393887,9878181
425,Khyri Thomas,2,23,DET,1416852,1158155,-258697,98179,3853931,77250,47370,77250,907378
426,Matt Thomas,2,25,TOR,898310,1586463,688153,2722951,2568600,77250,815615,838464,3256601
427,Tristan Thompson,4,28,CLE,18539130,12102773,-6436357,13043102,17469565,1312611,13000000,19264603,15100365
428,Matisse Thybulle,2,22,PHI,2582160,2422886,-159274,2135423,1645200,1312611,4000000,1952760,4469886
429,Anthony Tolliver,4,34,TOT,2564753,3954997,1390244,4053929,5451600,77250,4837500,5000000,2605262
430,Karl-Anthony Towns,5,24,MIN,27285000,19995426,-7289574,21042535,7839435,26540100,26540100,34682550,22594761
431,Gary Trent Jr,3,21,POR,1416852,3698463,2281611,4734246,1705920,77250,7000000,7000000,6006991
432,Allonzo Trier,2,24,NYK,3551100,2537529,-1013571,2740326,1914480,77250,4449000,2116955,2284454
433,PJ Tucker,4,34,HOU,8349039,7024684,-1324355,7876790,7959537,8000000,5000000,8641000,10193665
434,Evan Turner,2,31,ATL,18606556,1815864,-16790692,3017014,1504560,77250,2328652,1471382,2565320
435,Myles Turner,5,23,IND,18000000,9559191,-8440809,9238010,12250000,1312611,12250000,2393887,10747686
436,Jonas Valanciunas,5,27,MEM,16000000,19789991,3789991,14657174,17884176,23775506,22642350,17884176,17134741
437,Denzel Valentine,3,26,CHI,3377568,1669202,-1708366,2972316,1914480,77250,1512601,1468082,3229109
438,Jarred Vanderbilt,4,20,TOT,1416852,462560,-954292,877426,319266,77250,543471,96406,2795721
439,Fred VanVleet,2,25,TOR,9346153,16455719,7109566,14450834,25686667,12000000,12000000,23112004,12166325
440,Noah Vonleh,5,24,TOT,2000000,1255610,-744390,3457829,874636,77250,815615,543471,3802441
441,Nikola Vucevic,5,29,ORL,28000000,22380465,-5619535,18253700,21165675,23775506,25467250,15793104,18471737
442,Dean Wade,4,23,CLE,79568,1936210,1856642,1647183,3750000,77250,1579440,1874640,2525984
443,Moritz Wagner,5,22,WAS,2063520,2921239,857719,4013003,1709538,77250,5000000,1188840,5160018
444,Dion Waiters,2,28,TOT,12100000,7643939,-4456061,4948757,15270762,77250,7000000,6153846,10407334
445,Kemba Walker,1,29,BOS,32742000,15398693,-17343307,15817380,21000000,12000000,12000000,12000000,14463913
446,Lonnie Walker,2,21,SAS,2764200,1645276,-1118924,3670180,1315448,77250,1512601,77250,3291324
447,Tyrone Wallace,2,25,ATL,1620564,604077,-1016487,1495719,354500,77250,543471,354500,1893996
448,Derrick Walton,1,24,TOT,1445697,1076441,-369256,2135930,1524305,77250,543471,77250,1193430
449,Brad Wanamaker,1,30,BOS,1445697,2205158,759461,4839219,1325531,77250,2500000,726672,6183592
450,TJ Warren,3,26,IND,10810000,9400194,-1409806,10159292,4317720,12000000,12000000,3152930,8750369
451,PJ Washington,4,21,CHO,3831840,5904770,2072930,8486990,4351320,1312611,8333333,1312611,8979607
452,Yuta Watanabe,3,25,MEM,79568,1697962,1618394,1008030,2667600,77250,2247480,1000000,825012
453,Tremont Waters,1,22,BOS,79568,1100111,1020543,1415681,198579,77250,2328652,127250,1567192
454,Quinndary Weatherspoon,2,23,SAS,79568,1082143,1002575,1252678,1646400,77250,1050000,77250,865593
455,Russell Westbrook,1,31,HOU,38506482,15328958,-23177524,18034338,3314365,12000000,26540100,23962573,15813845
456,Coby White,1,19,CHI,5307120,6061152,754032,8169619,1406520,77250,12500000,6261394,8636219
457,Derrick White,2,25,SAS,1948080,15082476,13134396,8469420,31214295,1312611,13000000,16000000,9409562
458,Hassan Whiteside,5,30,POR,27093018,19850745,-7242273,16105769,15793104,23775506,23775506,23500000,15858141
459,Andrew Wiggins,3,24,TOT,27504630,18551219,-8953411,13409316,23962573,12000000,21000000,24559380,17273252
460,Grant Williams,4,21,BOS,2379840,868465,-1511375,1651308,838464,77250,838464,10000000,3498033
461,Kenrich Williams,4,25,NOP,1416852,4822833,3405981,4126272,12763467,77250,838464,9530000,10436515
462,Marvin Williams,4,33,TOT,15006250,2303603,-12702647,4900192,2166360,77250,2000000,2000000,2607943
463,Robert Williams,5,22,BOS,1937520,2095427,157907,3682588,1757429,1378242,1757429,1544951,5381884
464,Nigel Williams-Goss,1,25,UTA,1500000,745723,-754277,383134,543471,77250,1579440,1000000,629502
465,Zion Williamson,4,19,NOP,9757440,20898413,11140973,13632519,22347015,22116750,23775506,86118,11156520
466,DJ Wilson,4,23,MIL,2961120,1249371,-1711749,2669745,1410598,77250,838464,815615,2187084
467,Justise Winslow,2,23,MIA,13000000,4617639,-8382361,8239580,2593440,1312611,6000000,8533333,7957638
468,Christian Wood,4,24,DET,1645357,13703723,12058366,10204992,15460675,77250,22642350,16910112,12308824
469,Delon Wright,1,27,DAL,9473684,5595635,-3878049,7867595,1641000,77250,11000000,1378242,5275152
470,Justin Wright-Foreman,1,22,UTA,79568,1083640,1004072,2107716,2076960,77250,77250,1733880,1901654
471,Thaddeus Young,4,31,CHI,12900000,4938181,-7961819,6896945,2526840,1312611,8000000,8801363,5995004
472,Trae Young,1,21,ATL,6273000,17488471,11215471,23768897,6587131,12000000,26540100,26153057,21973452
473,Cody Zeller,5,27,CHO,14471910,6581079,-7890831,8333979,2550000,77250,13000000,16000000,7572557
474,Ante Zizic,5,23,CLE,2281800,1109336,-1172464,2469890,950000,77250,950000,10002681,2338444
475,Ivica Zubac,5,22,LAC,6481482,3707772,-2773710,8266212,4087500,1471382,1600520,1600520,4210328
